"","artist_id","artist","image","genres","popularity","link","followers","id","image_url"
"1736","67BqBdApdbZ0onglFqRoTg","Barbara Mandrell","67BqBdApdbZ0onglFqRoTg.png","['classic country pop', 'country', 'country gospel', 'country rock']",45,"https://api.spotify.com/v1/artists/67BqBdApdbZ0onglFqRoTg",191578,"13HGwNE3gVXuXquV3dnNEqO4nAiUioqN9","https://drive.google.com/file/d/13HGwNE3gVXuXquV3dnNEqO4nAiUioqN9"
"1737","07EcmJpfAday8xGkslfanE","Kevin Abstract","07EcmJpfAday8xGkslfanE.png","['afrofuturism', 'alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'rap']",67,"https://api.spotify.com/v1/artists/07EcmJpfAday8xGkslfanE",649342,"1O1QoQgQAy3VvkJ3gWsHH7TdXr1o73YNH","https://drive.google.com/file/d/1O1QoQgQAy3VvkJ3gWsHH7TdXr1o73YNH"
"1738","4FcZfItjVIsfO9TynErl7X","Jubël","4FcZfItjVIsfO9TynErl7X.png","['dance pop', 'deep house', 'edm', 'pop dance', 'swedish pop', 'tropical house']",68,"https://api.spotify.com/v1/artists/4FcZfItjVIsfO9TynErl7X",58059,"1IEHRklNQ_7yWSiIMyfQXjlRqcPfRC4a3","https://drive.google.com/file/d/1IEHRklNQ_7yWSiIMyfQXjlRqcPfRC4a3"
"1739","68abRTdO4meYReMWHvBYb0","Chris Lane","68abRTdO4meYReMWHvBYb0.png","['contemporary country', 'country', 'country road', 'modern country rock']",66,"https://api.spotify.com/v1/artists/68abRTdO4meYReMWHvBYb0",720154,"1_ybQXWkEnUFFgoT-h_mGjVxppEKUDiEs","https://drive.google.com/file/d/1_ybQXWkEnUFFgoT-h_mGjVxppEKUDiEs"
"1740","36zSkwftotDHslP3KUQpew","MED","36zSkwftotDHslP3KUQpew.png","['alternative hip hop', 'hip hop']",54,"https://api.spotify.com/v1/artists/36zSkwftotDHslP3KUQpew",30217,"1MachKn95F7Hpl09oaKtTIds-EyMaAfqY","https://drive.google.com/file/d/1MachKn95F7Hpl09oaKtTIds-EyMaAfqY"
"1741","4OTFxPi5CtWyj1NThDe6z5","Weathers","4OTFxPi5CtWyj1NThDe6z5.png","['alt z', 'modern alternative rock', 'modern rock', 'rock', 'social media pop']",65,"https://api.spotify.com/v1/artists/4OTFxPi5CtWyj1NThDe6z5",227604,"1EVKKKOdzpxPhiA1d48n3jwb2TuxBw747","https://drive.google.com/file/d/1EVKKKOdzpxPhiA1d48n3jwb2TuxBw747"
"1742","5i84V8Zk7YqCN6xxb7SWgw","Samantha Jade","5i84V8Zk7YqCN6xxb7SWgw.png","['australian pop', 'australian talent show', 'dance pop', 'post-teen pop']",49,"https://api.spotify.com/v1/artists/5i84V8Zk7YqCN6xxb7SWgw",82768,"1BCMJuFn7FxT0IIWBCY93Zx6y7MtKrR-h","https://drive.google.com/file/d/1BCMJuFn7FxT0IIWBCY93Zx6y7MtKrR-h"
"1743","6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","6yJ6QQ3Y5l0s0tn7b0arrO.png","['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'rap', 'underground hip hop']",67,"https://api.spotify.com/v1/artists/6yJ6QQ3Y5l0s0tn7b0arrO",456994,NA,"https://drive.google.com/file/d/NA"
"1744","3DFoVPonoAAt4EZ1FEI8ue","Sir Sly","3DFoVPonoAAt4EZ1FEI8ue.png","['electropop', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock']",59,"https://api.spotify.com/v1/artists/3DFoVPonoAAt4EZ1FEI8ue",243636,"1eCOmxSq-iMIht2YCUtE8FSPylwxvFmcS","https://drive.google.com/file/d/1eCOmxSq-iMIht2YCUtE8FSPylwxvFmcS"
"1745","58hqTaCiqGrMsNmmm3qL7w","Bree Runway","58hqTaCiqGrMsNmmm3qL7w.png","['alternative r&b', 'art pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'pop', 'r&b']",57,"https://api.spotify.com/v1/artists/58hqTaCiqGrMsNmmm3qL7w",91754,"1kH3rQZGiNaF9cMJgvbm_iGI2SilbNpNx","https://drive.google.com/file/d/1kH3rQZGiNaF9cMJgvbm_iGI2SilbNpNx"
"1746","0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","0WwSkZ7LtFUFjGjMZBMt6T.png","['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",78,"https://api.spotify.com/v1/artists/0WwSkZ7LtFUFjGjMZBMt6T",5503328,"1B5cqVyYAUk_AkwMT1JRVINdYy2Sgg8Hq","https://drive.google.com/file/d/1B5cqVyYAUk_AkwMT1JRVINdYy2Sgg8Hq"
"1747","7CyJIUpcWZK2zFM6gKLKvD","Andy Griggs","7CyJIUpcWZK2zFM6gKLKvD.png","['country', 'country road']",43,"https://api.spotify.com/v1/artists/7CyJIUpcWZK2zFM6gKLKvD",81342,"1p5vrh3yqg_dnzJtcCga5LtTggIEJEqrX","https://drive.google.com/file/d/1p5vrh3yqg_dnzJtcCga5LtTggIEJEqrX"
"1748","5pyVHz7lcfqKoV9BflFYwN","Jameson Rodgers","5pyVHz7lcfqKoV9BflFYwN.png","['contemporary country', 'country', 'country pop']",61,"https://api.spotify.com/v1/artists/5pyVHz7lcfqKoV9BflFYwN",48483,"1Y-6MAWXPFuxJxnhKQ9vRdHHh6QrmR5of","https://drive.google.com/file/d/1Y-6MAWXPFuxJxnhKQ9vRdHHh6QrmR5of"
"1749","2C9n4tQgNLhHPhSCmdsQnk","David Archuleta","2C9n4tQgNLhHPhSCmdsQnk.png","['dance pop', 'idol', 'lds youth', 'neo mellow', 'post-teen pop', 'viral pop']",61,"https://api.spotify.com/v1/artists/2C9n4tQgNLhHPhSCmdsQnk",463078,"1-Ne6aT0uS1sKENv-x0fLO_NhWlq_H7gE","https://drive.google.com/file/d/1-Ne6aT0uS1sKENv-x0fLO_NhWlq_H7gE"
"1750","4DZGvSv2oMkBUnPz67E6z6","David Nail","4DZGvSv2oMkBUnPz67E6z6.png","['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",59,"https://api.spotify.com/v1/artists/4DZGvSv2oMkBUnPz67E6z6",345366,"15tWoenLcWvzoky80CXvrmWpxdcqy5ZaI","https://drive.google.com/file/d/15tWoenLcWvzoky80CXvrmWpxdcqy5ZaI"
