id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genre
11607FzqoipskTsXrwEHnJ,Sunday Morning,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,4xwx0x7k6c5VuThz5qVqmV,The Velvet Underground & Nico 45th Anniversary,1967-03-12,https://api.spotify.com/v1/tracks/11607FzqoipskTsXrwEHnJ,0.506,0.442,5,-13.268,0,0.0276,0.0869,0.00239,0.0846,0.532,105.826,audio_features,spotify:track:11607FzqoipskTsXrwEHnJ,https://api.spotify.com/v1/tracks/11607FzqoipskTsXrwEHnJ,https://api.spotify.com/v1/audio-analysis/11607FzqoipskTsXrwEHnJ,175893,4,rock
4Mxef2s34ecbB6UtSdSf9E,No One Loves Me and Neither Do I,4zYQWYmtimAEmI6WWEzGfO,Them Crooked Vultures,0Z6IBizcq7DLXpenjSHqF3,Them Crooked Vultures,2009-11-17,https://api.spotify.com/v1/tracks/4Mxef2s34ecbB6UtSdSf9E,0.231,0.904,2,-5.506,1,0.0895,0.0304,2.74e-06,0.15,0.598,176.073,audio_features,spotify:track:4Mxef2s34ecbB6UtSdSf9E,https://api.spotify.com/v1/tracks/4Mxef2s34ecbB6UtSdSf9E,https://api.spotify.com/v1/audio-analysis/4Mxef2s34ecbB6UtSdSf9E,310377,4,rock
1I7zHEdDx8Ny5RxzYPqsU2,Reelin' In The Years,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,4Gh6pRaXqXTtJx4plAJbBw,Can't Buy A Thrill,1972-01-01,https://api.spotify.com/v1/tracks/1I7zHEdDx8Ny5RxzYPqsU2,0.523,0.758,2,-9.81,1,0.0403,0.133,0.0,0.0952,0.766,135.437,audio_features,spotify:track:1I7zHEdDx8Ny5RxzYPqsU2,https://api.spotify.com/v1/tracks/1I7zHEdDx8Ny5RxzYPqsU2,https://api.spotify.com/v1/audio-analysis/1I7zHEdDx8Ny5RxzYPqsU2,277267,4,rock
6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,07XSN3sPlIlB2L2XNcTwJw,KISS,1YCC4oZXg2zGn7pVSKVlGF,Dressed To Kill,1975-03-19,https://api.spotify.com/v1/tracks/6KTv0Z8BmVqM7DPxbGzpVC,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,audio_features,spotify:track:6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/tracks/6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/audio-analysis/6KTv0Z8BmVqM7DPxbGzpVC,168840,4,rock
4rcHWl68ai6KvpXlc8vbnE,Keep on Loving You,55vs7NT1KxcFjbMC4y202E,REO Speedwagon,0X4ZNTZw7SYgrp5rlBQC3N,Hi Infidelity (30th Anniversary Edition),1980,https://api.spotify.com/v1/tracks/4rcHWl68ai6KvpXlc8vbnE,0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,audio_features,spotify:track:4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/tracks/4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/audio-analysis/4rcHWl68ai6KvpXlc8vbnE,200293,4,rock
2ROJOb98GorxStuOuZWcGd,Have You Ever Loved A Woman?,2rc78XDH9zuJP6bm78lU8Z,Derek & The Dominos,5iIWnMgvSM8uEBwXKsPcXM,Layla And Other Assorted Love Songs (Remastered 2010),1970-11-01,https://api.spotify.com/v1/tracks/2ROJOb98GorxStuOuZWcGd,0.303,0.648,0,-6.795,1,0.0512,0.642,0.053,0.407,0.644,170.379,audio_features,spotify:track:2ROJOb98GorxStuOuZWcGd,https://api.spotify.com/v1/tracks/2ROJOb98GorxStuOuZWcGd,https://api.spotify.com/v1/audio-analysis/2ROJOb98GorxStuOuZWcGd,412960,3,rock
4kiVGEOrzWmEUCxXU21rtN,John The Fisherman,64mPnRMMeudAet0E62ypkx,Primus,3eI0FhygfWcdgI3GZdLXFT,They Can't All Be Zingers,2006-01-01,https://api.spotify.com/v1/tracks/4kiVGEOrzWmEUCxXU21rtN,0.604,0.948,7,-3.093,1,0.0595,0.000816,0.00714,0.0446,0.861,115.132,audio_features,spotify:track:4kiVGEOrzWmEUCxXU21rtN,https://api.spotify.com/v1/tracks/4kiVGEOrzWmEUCxXU21rtN,https://api.spotify.com/v1/audio-analysis/4kiVGEOrzWmEUCxXU21rtN,216733,4,rock
1HSVpIU0XU1WuwiBLBWAZd,The World I Know,4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul,6zGQoUd5QQ65xMx5OycFgE,Collective Soul,1995-03-14,https://api.spotify.com/v1/tracks/1HSVpIU0XU1WuwiBLBWAZd,0.514,0.704,2,-4.724,1,0.0261,0.0508,0.00214,0.228,0.386,76.972,audio_features,spotify:track:1HSVpIU0XU1WuwiBLBWAZd,https://api.spotify.com/v1/tracks/1HSVpIU0XU1WuwiBLBWAZd,https://api.spotify.com/v1/audio-analysis/1HSVpIU0XU1WuwiBLBWAZd,255467,4,rock
48PFPb3Zgi6MDrSYzlhAGd,Suite: Judy Blue Eyes,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",5opegFhnGg5R2MYvN2HXQM,"Crosby, Stills & Nash",2020-01-01,https://api.spotify.com/v1/tracks/48PFPb3Zgi6MDrSYzlhAGd,0.45,0.361,9,-13.156,1,0.0447,0.465,0.0,0.183,0.34,154.202,audio_features,spotify:track:48PFPb3Zgi6MDrSYzlhAGd,https://api.spotify.com/v1/tracks/48PFPb3Zgi6MDrSYzlhAGd,https://api.spotify.com/v1/audio-analysis/48PFPb3Zgi6MDrSYzlhAGd,444053,4,rock
1CAO7hiNOxJRPW4nFv2aRO,Mama Told Me (Not To Come) - Single Version,4FAEZeJcsYYBkNq2D3KGTV,Three Dog Night,0tJT9ZnxnlElGa34DRj59l,It Ain't Easy,1970-01-01,https://api.spotify.com/v1/tracks/1CAO7hiNOxJRPW4nFv2aRO,0.673,0.673,1,-13.941,1,0.0493,0.373,0.0265,0.206,0.825,119.994,audio_features,spotify:track:1CAO7hiNOxJRPW4nFv2aRO,https://api.spotify.com/v1/tracks/1CAO7hiNOxJRPW4nFv2aRO,https://api.spotify.com/v1/audio-analysis/1CAO7hiNOxJRPW4nFv2aRO,198933,4,rock
1OgX2q5VKwciUamJFFkuPP,Teach Your Children,1CYsQCypByMVgnv17qsSbQ,"Crosby, Stills, Nash & Young",7l3Yo2X2XX2A7AYyDESULC,Deja Vu,0000,https://api.spotify.com/v1/tracks/1OgX2q5VKwciUamJFFkuPP,0.379,0.279,2,-14.611,1,0.0273,0.659,4.1e-05,0.374,0.663,153.801,audio_features,spotify:track:1OgX2q5VKwciUamJFFkuPP,https://api.spotify.com/v1/tracks/1OgX2q5VKwciUamJFFkuPP,https://api.spotify.com/v1/audio-analysis/1OgX2q5VKwciUamJFFkuPP,175000,4,rock
2nekCvC9XRXQckWNnkIp2l,Harvest Moon,6v8FB84lnmJs434UJf2Mrm,Neil Young,6AnpM7DFltgJLIjlToxYJ1,"Eat, Pray, Love",2010-01-01,https://api.spotify.com/v1/tracks/2nekCvC9XRXQckWNnkIp2l,0.645,0.321,2,-12.15,1,0.0263,0.521,0.000186,0.129,0.427,112.938,audio_features,spotify:track:2nekCvC9XRXQckWNnkIp2l,https://api.spotify.com/v1/tracks/2nekCvC9XRXQckWNnkIp2l,https://api.spotify.com/v1/audio-analysis/2nekCvC9XRXQckWNnkIp2l,299107,4,rock
6TSBIfIbxuPDi1uqMqy1iV,Wishing Well,2e53aHBQdCMKWqHDuyJsjC,Free,5DCO2FoF52d5s8zcUgurLE,Heartbreaker,1973-01-01,https://api.spotify.com/v1/tracks/6TSBIfIbxuPDi1uqMqy1iV,0.498,0.72,4,-10.533,0,0.0674,0.14,0.000252,0.38,0.576,121.892,audio_features,spotify:track:6TSBIfIbxuPDi1uqMqy1iV,https://api.spotify.com/v1/tracks/6TSBIfIbxuPDi1uqMqy1iV,https://api.spotify.com/v1/audio-analysis/6TSBIfIbxuPDi1uqMqy1iV,220147,4,rock
70Z9t1qhytWtG4cCmmi7mU,I Wanna Rock,7b85ve82Sh36a3UAx74wut,Twisted Sister,0dzqapIToiOhULGvzDKpXm,Stay Hungry,1984-05-10,https://api.spotify.com/v1/tracks/70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,audio_features,spotify:track:70Z9t1qhytWtG4cCmmi7mU,https://api.spotify.com/v1/tracks/70Z9t1qhytWtG4cCmmi7mU,https://api.spotify.com/v1/audio-analysis/70Z9t1qhytWtG4cCmmi7mU,179760,4,rock
1Qq7Tq8zZHuelGv9LQE2Yy,Sweet Child O' Mine - Acoustic,4Cqia9vrAbm7ANXbJGXsTE,Slash,0FVwOZ7tlwwXSymeRyPfud,Spotify Sessions,2014-08-25,https://api.spotify.com/v1/tracks/1Qq7Tq8zZHuelGv9LQE2Yy,0.566,0.538,6,-5.729,1,0.0346,0.406,0.000497,0.979,0.315,121.154,audio_features,spotify:track:1Qq7Tq8zZHuelGv9LQE2Yy,https://api.spotify.com/v1/tracks/1Qq7Tq8zZHuelGv9LQE2Yy,https://api.spotify.com/v1/audio-analysis/1Qq7Tq8zZHuelGv9LQE2Yy,396968,4,rock
549Go7a66CX6k523uK9kUv,"Girls, Girls, Girls",0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,2KT9tWALjIRjnaGYDYPg3k,"Girls, Girls, Girls",1987-05-15,https://api.spotify.com/v1/tracks/549Go7a66CX6k523uK9kUv,0.599,0.931,7,-4.653,1,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,audio_features,spotify:track:549Go7a66CX6k523uK9kUv,https://api.spotify.com/v1/tracks/549Go7a66CX6k523uK9kUv,https://api.spotify.com/v1/audio-analysis/549Go7a66CX6k523uK9kUv,270427,4,rock
0zK545STj6P7qbFSpCK9pp,No Matter What - Remastered 2010,4pJCawaKSZ40EnxN0YEYw3,Badfinger,2k5XYJN31jQz577blA1Xod,No Dice (Remastered 2010 / Deluxe Edition),1970-11-09,https://api.spotify.com/v1/tracks/0zK545STj6P7qbFSpCK9pp,0.529,0.743,9,-5.523,1,0.0481,0.177,0.0,0.0759,0.78,116.817,audio_features,spotify:track:0zK545STj6P7qbFSpCK9pp,https://api.spotify.com/v1/tracks/0zK545STj6P7qbFSpCK9pp,https://api.spotify.com/v1/audio-analysis/0zK545STj6P7qbFSpCK9pp,180547,4,rock
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,31q47gQszFt0CddSyMksgO,Willy And The Poor Boys,1969-11-02,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,audio_features,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/audio-analysis/4BP3uh0hFLFRb5cjsgLqDh,140773,4,rock
